Feature,Feature_Value,SHAP_Value,Absolute_SHAP
Customer_Lifespan_Days,1.0316418,-0.24399766941784276,0.24399766941784276
Engagement_Score,0.6092066,-0.2263435322126004,0.2263435322126004
Recency,-0.6534972,-0.1470671596044626,0.1470671596044626
Predicted_CLV,-0.14225124,-0.05032843552579168,0.05032843552579168
Average_Order_Value,-0.11521422,0.050111024747110565,0.050111024747110565
Country_United Kingdom,1.0,0.01967938393354416,0.01967938393354416
Frequency,0.06796179,0.019229879406717224,0.019229879406717224
Unique_Products,-0.070256956,-0.014094875227829862,0.014094875227829862
Average_Basket_Size,-0.08701154,0.010862288220554975,0.010862288220554975
Average_Purchase_Gap,0.22952034,-0.010595208518395073,0.010595208518395073
Monetary_Total,-0.06378622,0.010363489818408497,0.010363489818408497
Country_Norway,0.0,-0.007594550848007202,0.007594550848007202
Return_Rate,-0.107622154,-0.007485505302153456,0.007485505302153456
Country_Netherlands,0.0,-0.007069402933120727,0.007069402933120727
Country_Unspecified,0.0,0.006095869541168213,0.006095869541168213
Country_Canada,0.0,-0.0040042495727539065,0.0040042495727539065
Country_Germany,0.0,0.0035921094566583635,0.0035921094566583635
Total_Quantity,-0.080436535,0.001138766202353485,0.001138766202353485
Country_Portugal,0.0,0.0011278274282813072,0.0011278274282813072
Country_Austria,0.0,-0.0008827129751443863,0.0008827129751443863
Country_France,0.0,-0.0006564553827047348,0.0006564553827047348
Monetary_Average,0.016392956,0.0005758831441962367,0.0005758831441962367
Price_Sensitivity,-0.030277805,0.00035949593189270643,0.00035949593189270643
Country_Thailand,0.0,0.0002020641043782234,0.0002020641043782234
Country_Spain,0.0,-6.773270200937986e-05,6.773270200937986e-05
Country_United Arab Emirates,0.0,0.0,0.0
Country_USA,0.0,0.0,0.0
Country_Switzerland,0.0,0.0,0.0
Country_Sweden,0.0,0.0,0.0
Country_Malta,0.0,0.0,0.0
Country_Singapore,0.0,0.0,0.0
Country_Saudi Arabia,0.0,0.0,0.0
Country_RSA,0.0,0.0,0.0
Country_Poland,0.0,0.0,0.0
Country_Nigeria,0.0,0.0,0.0
Country_Brazil,0.0,0.0,0.0
Country_Lithuania,0.0,0.0,0.0
Country_Belgium,0.0,0.0,0.0
Country_Finland,0.0,0.0,0.0
Country_Channel Islands,0.0,0.0,0.0
Country_Cyprus,0.0,0.0,0.0
Country_Czech Republic,0.0,0.0,0.0
Country_Denmark,0.0,0.0,0.0
Country_EIRE,0.0,0.0,0.0
Country_European Community,0.0,0.0,0.0
Country_Bahrain,0.0,0.0,0.0
Country_Lebanon,0.0,0.0,0.0
Country_Greece,0.0,0.0,0.0
Country_Iceland,0.0,0.0,0.0
Country_Israel,0.0,0.0,0.0
Country_Italy,0.0,0.0,0.0
Country_Japan,0.0,0.0,0.0
Country_Korea,0.0,0.0,0.0
Country_West Indies,0.0,0.0,0.0
