Feature,Feature_Value,SHAP_Value,Absolute_SHAP
Average_Order_Value,-11.116289,5.65189603891886,5.65189603891886
Predicted_CLV,-11.99827,-2.86961051823752,2.86961051823752
Return_Rate,7.1488357,1.4336280334896516,1.4336280334896516
Engagement_Score,-1.6208116,1.2482081552564595,1.2482081552564595
Recency,1.6116114,0.7679155309546237,0.7679155309546237
Customer_Lifespan_Days,-1.0124912,0.20167311832143928,0.20167311832143928
Monetary_Total,-0.71858484,0.1562502535713681,0.1562502535713681
Unique_Products,-0.67998046,0.15121401671452037,0.15121401671452037
Monetary_Average,-12.93989,0.10382655004107941,0.10382655004107941
Frequency,-0.42256945,0.05268783855722977,0.05268783855722977
Country_United Kingdom,1.0,0.04475217997096479,0.04475217997096479
Average_Basket_Size,-0.21174595,0.027873176505508107,0.027873176505508107
Country_Germany,0.0,0.012817906998097896,0.012817906998097896
Total_Quantity,-0.18046375,-0.011019726393419145,0.011019726393419145
Country_Unspecified,0.0,0.008072596788406373,0.008072596788406373
Country_Netherlands,0.0,-0.005113593935966491,0.005113593935966491
Country_Portugal,0.0,0.002988164648413658,0.002988164648413658
Country_Austria,0.0,-0.0023459122329950333,0.0023459122329950333
Country_Thailand,0.0,-0.0013690173625946044,0.0013690173625946044
Average_Purchase_Gap,-0.7488845,0.0012672317212635475,0.0012672317212635475
Country_Italy,0.0,-0.000584351047873497,0.000584351047873497
Country_Spain,0.0,0.0005800090264528989,0.0005800090264528989
Price_Sensitivity,-0.030482735,0.00032035838443455653,0.00032035838443455653
Country_France,0.0,0.00030717115849256517,0.00030717115849256517
Country_Singapore,0.0,0.0,0.0
Country_Malta,0.0,0.0,0.0
Country_RSA,0.0,0.0,0.0
Country_Sweden,0.0,0.0,0.0
Country_Switzerland,0.0,0.0,0.0
Country_Poland,0.0,0.0,0.0
Country_Norway,0.0,0.0,0.0
Country_USA,0.0,0.0,0.0
Country_Nigeria,0.0,0.0,0.0
Country_United Arab Emirates,0.0,0.0,0.0
Country_Saudi Arabia,0.0,0.0,0.0
Country_Korea,0.0,0.0,0.0
Country_Lithuania,0.0,0.0,0.0
Country_Lebanon,0.0,0.0,0.0
Country_Bahrain,0.0,0.0,0.0
Country_Belgium,0.0,0.0,0.0
Country_Brazil,0.0,0.0,0.0
Country_Canada,0.0,0.0,0.0
Country_Channel Islands,0.0,0.0,0.0
Country_Cyprus,0.0,0.0,0.0
Country_Czech Republic,0.0,0.0,0.0
Country_Denmark,0.0,0.0,0.0
Country_EIRE,0.0,0.0,0.0
Country_European Community,0.0,0.0,0.0
Country_Finland,0.0,0.0,0.0
Country_Greece,0.0,0.0,0.0
Country_Iceland,0.0,0.0,0.0
Country_Israel,0.0,0.0,0.0
Country_Japan,0.0,0.0,0.0
Country_West Indies,0.0,0.0,0.0
